Pyrometer1,Pyrometer2,Voltage,Current,Acoustic Noise
20.42486,20.4447,20.10133,287.2144,-0.03929618
20.39739,20.4447,20.10133,287.6184,-0.02018984
20.31803,20.55305,20.15627,287.6184,0.00671469
20.1288,20.60646,20.20815,287.6184,0.03255097
20.18374,20.55305,20.26309,288.7854,0.0398303
20.42486,20.47216,20.31498,289.1894,0.03955561
20.37144,20.4447,20.31498,289.9748,0.03578623
20.34398,20.55305,17.6291,289.5933,0.03363448
20.1288,20.57899,18.32804,291.5682,0.03740386
20.23715,20.71328,17.73593,291.9497,0.04950555
20.37144,19.96093,17.46734,290.3788,0.06108839
20.42486,20.47216,17.84275,293.1392,0.06592602
20.23715,20.65987,17.30558,293.5207,0.0575937
20.04944,20.63393,17.79087,294.7101,0.04279087
20.1288,20.55305,17.94958,294.3286,0.01883164
20.37144,20.47216,17.94958,295.4956,-0.00270114
20.39739,20.49811,19.50922,295.8995,-0.01722928
20.31803,20.63393,20.53168,295.1141,-0.03203211
20.10286,20.63393,22.03638,295.4956,-0.04387438
20.18374,20.52558,23.75778,295.1141,-0.05544195
20.37144,20.49811,24.18813,295.4956,-0.05976071
20.50574,20.52558,27.35929,294.7101,-0.0532902
20.34398,20.63393,28.27188,293.9247,-0.03769381
20.18374,20.65987,27.62789,293.9247,-0.01507752
20.18374,20.36381,27.62789,293.5207,0.00967525
20.29056,20.4447,27.68282,293.9247,0.03013979
20.42486,20.52558,27.89647,293.5207,0.0441338
20.29056,20.65987,28.27188,292.7352,0.04547674
20.07539,20.63393,28.70224,292.7352,0.04117324
20.1288,20.47216,28.75717,293.1392,0.04089855
20.29056,20.47216,29.18752,291.9497,0.03659504
20.42486,20.57899,29.13258,291.5682,0.03444329
20.29056,20.65987,29.40117,291.5682,0.03390917
20.10286,20.60646,29.7247,291.1642,0.02394396
20.10286,20.52558,29.77964,289.9748,0.01344463
20.29056,20.49811,30.31681,289.5933,0.00025943
20.50574,20.60646,30.26187,290.7603,-0.01158283
20.31803,20.68734,30.15505,289.5933,-0.0234251
20.15627,20.76822,30.15505,289.9748,-0.03418386
20.07539,20.28446,30.04822,289.5933,-0.03929618
20.31803,20.52558,30.3687,289.9748,-0.04253144
20.53168,20.52558,29.88646,288.7854,-0.04359968
20.31803,20.60646,30.10011,289.1894,-0.04199731
20.15627,20.55305,30.10011,287.9999,-0.04199731
20.10286,20.41875,30.3687,289.1894,-0.03149799
20.23715,20.47216,31.71469,287.6184,-0.02261629
20.4508,20.60646,28.32682,287.6184,-0.01426871
20.34398,20.60646,28.11317,288.7854,-0.00431876
20.15627,20.55305,27.57294,289.5933,0.00671469
20.10286,20.47216,27.84153,288.7854,0.01291051
20.26309,20.41875,27.62789,288.7854,0.01129288
20.42486,20.60646,26.92895,288.4039,0.01182701
20.47827,20.52558,27.95141,289.1894,0.01506226
20.20968,20.22952,28.43365,287.9999,0.0164052
20.15627,20.33787,30.20999,288.7854,0.01506226
20.20968,20.3104,29.7247,287.9999,0.01263582
20.53168,20.4447,30.96081,288.4039,0.00590587
20.4508,20.39128,33.70162,286.025,-0.00915639
20.37144,20.28446,31.92834,286.8329,-0.02745391
20.26309,20.20358,31.65975,286.429,-0.04710963
20.39739,20.28446,33.64974,286.025,-0.07132828
20.66598,20.36381,32.9508,286.025,-0.08909169
20.61256,20.3104,29.61787,286.8329,-0.1041692
20.42486,20.20358,29.99328,286.025,-0.1119674
20.31803,20.20358,31.33622,286.025,-0.1073892
20.55915,20.33787,30.20999,285.6435,-0.0944787
20.71939,20.25699,32.9508,286.025,-0.08344524
20.71939,20.1227,29.88646,286.429,-0.07401416
20.53168,19.74728,31.28434,284.858,-0.06809303
20.34398,20.20358,30.90587,285.6435,-0.05464839
20.53168,20.39128,29.61787,285.6435,-0.045492
20.71939,20.33787,29.56293,285.6435,-0.04225674
20.69344,20.3104,31.06763,286.025,-0.04091381
20.50574,20.15016,31.92834,284.4541,-0.03984556
20.34398,20.22952,30.20999,285.2395,-0.04495788
20.4508,20.39128,31.4461,284.4541,-0.04521731
20.74685,20.4447,31.01575,283.6686,-0.0444085
20.71939,20.47216,30.20999,284.0501,-0.04521731
20.50574,20.3104,32.62727,284.4541,-0.04063912
20.37144,20.41875,31.06763,284.0501,-0.03445855
20.53168,20.49811,32.03516,284.0501,-0.03122329
20.66598,20.60646,31.06763,283.6686,-0.02504273
20.77433,20.39128,30.96081,282.8831,-0.02289098
20.47827,20.60646,31.12257,283.6686,-0.02180747
20.4508,20.47216,30.42364,282.8831,-0.01857221
20.4508,20.60646,30.74716,283.6686,-0.01616103
20.69344,20.52558,30.31681,283.6686,-0.01616103
20.69344,20.4447,31.92834,282.0976,-0.02234159
20.53168,20.3104,30.31681,282.8831,-0.02018984
20.37144,20.3104,34.56232,282.0976,-0.02585154
20.42486,20.39128,32.84398,281.2897,-0.02745391
20.64003,20.4447,33.38115,281.2897,-0.01696984
20.69344,20.25699,33.75656,280.5042,-0.01049933
20.53168,20.25699,33.48798,280.1227,-0.00242644
20.37144,20.28446,32.35868,280.9082,-0.00485289
20.4508,20.36381,32.52045,280.9082,-0.00915639
20.64003,20.36381,32.62727,280.5042,-0.01104871
20.74685,20.25699,32.52045,282.0976,-0.02018984
20.55915,20.33787,32.14503,280.5042,-0.02289098
20.37144,20.28446,32.25186,279.7188,-0.02449335
20.47827,20.4447,32.41363,280.1227,-0.01265108
20.66598,20.33787,31.76657,279.7188,-0.00323526
20.74685,20.17611,31.33622,280.1227,0.00187706
20.61256,20.17611,31.82151,278.9333,0.00914113
20.42486,20.28446,32.0901,279.3148,0.00160237
20.42486,20.36381,29.23941,280.1227,-0.00512758
20.64003,20.28446,30.04822,279.7188,-0.00619583
20.74685,20.17611,30.20999,280.1227,-0.01373459
20.61256,20.17611,30.04822,280.1227,-0.02476804
20.39739,20.28446,29.18752,281.2897,-0.03041448
20.4508,20.39128,28.864,280.1227,-0.03741912
20.66598,20.47216,29.0807,280.9082,-0.03876206
20.66598,20.28446,28.32682,281.6937,-0.04144793
20.61256,20.15016,27.95141,280.5042,-0.04010499
20.42486,20.33787,21.01392,281.2897,-0.03203211
20.47827,20.39128,20.15627,284.0501,-0.02557685
20.58509,20.25699,19.45733,285.2395,-0.02018984
20.80027,20.15016,18.70345,287.2144,-0.02018984
20.61256,20.17611,18.43487,287.9999,-0.02504273
20.39739,20.3104,18.64852,288.4039,-0.02289098
20.42486,20.28446,18.64852,289.9748,-0.03392443
20.55915,20.17611,18.37993,290.7603,-0.02934623
20.71939,20.1227,18.37993,291.1642,-0.01642046
20.64003,20.15016,18.75839,293.1392,-0.01292577
20.42486,20.3104,19.45733,292.3537,-0.0013582
20.37144,20.25699,19.88768,294.3286,0.0075235
20.55915,20.22952,20.31498,294.3286,0.01263582
20.77433,20.15016,20.69344,294.7101,0.01075876
20.90709,20.17611,21.17568,294.7101,0.00779819
20.66598,20.17611,22.25308,295.8995,0.01182701
20.47827,20.3104,28.864,295.1141,0.02179221
20.47827,20.22952,31.60481,293.1392,0.04117324
20.74685,20.17611,33.75656,291.9497,0.06592602
20.69344,20.25699,34.13197,290.7603,0.08611586
20.47827,20.36381,34.18691,291.1642,0.09580638
20.37144,20.33787,33.38115,289.5933,0.1073739
20.53168,20.17611,33.86339,289.1894,0.1003846
20.71939,20.20358,33.86339,288.7854,0.08477292
20.64003,20.28446,35.20938,287.6184,0.07077891
20.50574,20.33787,36.1769,287.6184,0.05463313
20.31803,20.36381,35.47796,285.6435,0.04143267
20.50574,20.25699,35.74655,285.6435,0.03229154
20.71939,20.17611,36.28373,286.025,0.02421865
20.58509,20.15016,36.06702,284.4541,0.0207087
20.53168,20.52558,35.9602,284.0501,0.01667989
20.26309,20.52558,36.76596,283.2646,0.01263582
20.39739,20.36381,36.76596,282.4792,-0.00376938
20.58509,20.4447,37.0376,282.0976,-0.0277286
20.55915,20.55305,36.71408,282.0976,-0.045492
20.31803,20.55305,37.14442,280.1227,-0.06864241
20.15627,20.49811,37.6816,280.9082,-0.08182761
20.23715,20.41875,37.73654,278.5293,-0.08263643
20.47827,20.49811,39.56171,278.9333,-0.07509767
20.4508,20.60646,37.95019,277.7439,-0.06513246
20.29056,20.60646,36.22879,278.9333,-0.05518252
19.94109,20.60646,36.39055,277.3623,-0.05464839
20.04944,20.39128,37.08949,276.9584,-0.05680015
20.18374,20.63393,37.0376,276.5544,-0.06002014
20.10286,20.71328,37.0376,276.5544,-0.06406422
20.1288,20.60646,36.92772,275.769,-0.05948602
19.86174,20.52558,38.59419,275.769,-0.04872726
20.02197,20.47216,37.6816,274.9835,-0.02719448
20.15627,20.52558,37.78843,274.198,-0.0013582
20.20968,20.63393,38.3256,272.627,0.01991515
20.07539,20.60646,37.62666,273.794,0.03686973
19.8068,20.52558,37.4649,272.627,0.04950555
19.91515,20.49811,38.5423,272.627,0.05354962
20.10286,20.55305,37.14442,272.2231,0.0341686
20.18374,20.68734,38.16384,271.4376,0.01344463
19.99451,20.57899,38.70406,271.0337,-0.00834758
19.75339,20.57899,37.78843,271.0337,-0.02504273
19.91515,20.49811,36.60725,270.2482,-0.03096386
20.07539,20.36381,38.00513,270.6521,-0.03203211
20.1288,20.68734,37.78843,269.8667,-0.02127335
20.02197,20.65987,37.30619,270.2482,-0.0088817
19.8068,20.49811,38.05701,268.2733,-0.0056617
19.88768,20.52558,38.59419,267.8918,-0.01588634
20.07539,20.60646,39.02454,268.2733,-0.02476804
20.1288,20.65987,37.95019,267.8918,-0.03445855
20.04944,20.63393,37.4649,267.4878,-0.04602613
19.83427,20.52558,40.47735,267.8918,-0.04979551
19.86174,20.49811,39.02454,266.7023,-0.03714443
